Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,Grade
CentralSymmetry,"Centrāla simetrija (atspulgs pret punktu)","Central (point) symmetry","Plaknes pārveidojums, kurā katrs punkts tiek aizstāts ar simetrisko attiecībā pret fiksētu punktu — simetrijas centru. Ekvivalents pagriezienam par $180°$.",Geom,Transformations,6
Rotation,"Pagrieziens","Rotation","Plaknes pārveidojums, kurā visi punkti tiek pagriezti ap fiksētu punktu (pagrieziena centru) par fiksētu leņķi.",Geom,Transformations,7
Translation,"Paralēla pārvietošana","Translation","Plaknes pārveidojums, kurā visi punkti tiek pārvietoti par vienu un to pašu vektoru.",Geom,Transformations,8
HomothetyAndScaling,"Homotētija un mēroga maiņa","Homothety and scaling","Plaknes pārveidojums, kurā katrs punkts tiek pārvietots tālāk vai tuvāk fiksētam centram ar fiksētu koeficientu. Saistīts ar līdzīgumu.",Geom,Transformations,9
CoordinatePlane,"Koordinātu plakne","Coordinate plane","Plakne $\mathbb{R}^2$ ar diviem koordinātu asīm. Punkts kā sakārtots pāris $(x, y)$. Vieta, kur ģeometrija un algebra savijas.",Geom,Coordinates,8
LatticeGrid,"Rūtiņu režģis $\mathbb{Z}^2$","Integer lattice grid","Diskrēta plaknes apakškopa — punkti ar veseliem koordinātām. Pamats rūtiņu lapas uzdevumiem ar krāsojumiem, ceļiem un pārklājumiem.",Comb,Coordinates,6
Polyhedron,"Daudzskaldnis","Polyhedron","Telpiska figūra ar plakanām skaldnēm. Ar virsotnēm, šķautnēm un skaldnēm — pati par sevi grafiska struktūra.",Geom,SolidGeometry,8
BasicSolids,"Pamata telpiskie ķermeņi","Basic solid shapes","Kubs, taisnstūra paralēlskaldnis, prizma, piramīda, cilindrs, konuss, lode. To tilpumi un virsmas laukumi.",Geom,SolidGeometry,8
EulerPolyhedraFormula,"Eilera formula daudzskaldņiem","Euler's polyhedron formula","Izliektam daudzskaldnim $V - E + F = 2$, kur $V$ — virsotņu, $E$ — šķautņu, $F$ — skaldņu skaits. Reti standartā, bet bieži olimpiādēs.",Geom,SolidGeometry,9
DataStatistics,"Datu kopa un raksturlielumi","Data set and summary statistics","Datu kopa $\{x_1, \ldots, x_n\}$ un tās raksturlielumi: aritmētiskais vidējais, mediāna, moda, amplitūda. Funkcijas no datu kopas uz reālu skaitli.",Alg,DataAndProbability,8
ArithmeticMean,"Aritmētiskais vidējais","Arithmetic mean","$(x_1 + \ldots + x_n)/n$. Bieži parādās arī tīros olimpiāžu uzdevumos kā ""ja vidējais ir tāds, tad…"" struktūra.",Alg,DataAndProbability,7
SampleSpace,"Notikumu telpa un elementārnotikums","Sample space and elementary event","Galīga visu iespējamo iznākumu kopa $\Omega$. Notikums — $\Omega$ apakškopa.",Comb,DataAndProbability,8
Probability,"Notikuma varbūtība","Probability of an event","Klasiskajā gadījumā $P(A) = |A|/|\Omega|$ — labvēlīgo iznākumu attiecība pret visu iznākumu skaitu. Funkcija no notikumiem uz $[0,1]$.",Comb,DataAndProbability,8
GamePosition,"Spēles pozīcija un gājieni","Game position and moves","Divspēlētāju spēles stāvoklis kopā ar atļautajiem gājieniem. Visa spēle veido orientētu grafu, kura virsotnes ir pozīcijas un bultiņas — gājieni.",Comb,GamesAndProcesses,7
WinningLosingPositions,"Uzvarošas un zaudējošas pozīcijas","Winning and losing positions","Spēles pozīciju klasifikācija: no uzvarošas pozīcijas eksistē gājiens uz zaudējošu pozīciju; no zaudējošas — visi gājieni ved uz uzvarošām.",Comb,GamesAndProcesses,8
SymmetryStrategy,"Simetrijas stratēģija","Symmetry strategy","Spēles stratēģija, kurā spēlētājs atbild ar gājienu, kas ir simetrisks pretinieka gājienam (attiecībā pret kādu asi vai centru). Bijekcija starp pretinieka un saviem gājieniem.",Comb,GamesAndProcesses,7
StateSpaceProcess,"Stāvokļu telpa procesam ar darbībām","State space of a process","Visu iespējamo stāvokļu kopa procesam (skaitļi uz tāfeles, papīra gabaliņi, monētu skaits) kopā ar atļautām darbībām, kas viens stāvokli pārvērš par citu.",Comb,GamesAndProcesses,7
Invariant,"Invariants","Invariant","Lielums vai īpašība, kas saglabājas, izpildot atļautās darbības. Lieto, lai pierādītu, ka kādu stāvokli sasniegt nav iespējams.",Comb,GamesAndProcesses,7
Monovariant,"Pusinvariants (monovariants)","Monovariant","Lielums, kas vienmēr tikai pieaug vai tikai samazinās. Lieto, lai pierādītu, ka process noteikti beigsies vai sasniegs noteiktu galastāvokli.",Comb,GamesAndProcesses,9
PigeonholePrinciple,"Dirihlē princips","Pigeonhole principle","Ja vairāk nekā $n$ objektus jāsadala $n$ grupās, tad vismaz vienā grupā būs vismaz 2 objekti. Vispārīgāk: vairāk nekā $mn$ objektos $n$ grupās — vismaz $m+1$ vienā grupā.",Comb,CountingPrinciples,7
ExistenceVsUniversal,"Eksistence pretstatā vispārīgam apgalvojumam","Existence vs universal statement","Atšķirība starp ""eksistē tāds, ka..."" (jāatrod piemērs vai jāpierāda eksistence) un ""katrs/visi/vienmēr"" (jāpierāda vispārīgi vai jāatrod pretpiemērs).",Alg,LogicalStructures,6
NecessarySufficient,"Nepieciešami un pietiekami nosacījumi","Necessary and sufficient conditions","Apgalvojumi formā ""$A$ tad un tikai tad, ja $B$"" prasa pierādīt abus virzienus: $A \Rightarrow B$ un $B \Rightarrow A$.",Alg,LogicalStructures,9
OptimumProofStructure,"Optimuma uzdevuma struktūra","Optimum problem structure","Uzdevumi ""kāds ir lielākais/mazākais..."" prasa divas daļas: piemēru, kas sasniedz vērtību, un pierādījumu, ka labāk nav iespējams.",Alg,LogicalStructures,6
ProofByContradiction,"Pierādījums no pretējā","Proof by contradiction","Pieņem, ka apgalvojums nav patiess, un iegūst pretrunu. Klasiska olimpiāžu pierādījumu shēma neeksistences uzdevumos.",Alg,LogicalStructures,8
Counterexample,"Pretpiemērs","Counterexample","Konkrēts piemērs, kas atspēko vispārīgu apgalvojumu. Pietiek viens — lai pierādītu, ka ""ne katram"" vai ""ne vienmēr"".",Alg,LogicalStructures,6
MathematicalInduction,"Matemātiskā indukcija","Mathematical induction","Pierādījuma metode apgalvojumiem, kas atkarīgi no naturāla parametra $n$: pierāda bāzi un soli no $n$ uz $n+1$. Pamatskolā parasti neformālā variantā — ""induktīvi spriedumi"".",Alg,LogicalStructures,9
TruthValueAssignment,"Patiesības vērtību piešķīrums","Truth value assignment","Apgalvojumu kopas piekārtošana ""patiess"" / ""aplams"" vērtībām. Pamats ""knights and knaves"" tipa uzdevumiem, kuros katrs runātājs ir vai nu vienmēr patiess, vai vienmēr melīgs.",Comb,PropositionalLogic,6
TruthTellersAndLiars,"Patiesības teicēji un meļi","Truth-tellers and liars","Uzdevumi, kuros viena objektu klase vienmēr saka patiesību, bet otra vienmēr melo (bizbizmārītes, salu iedzīvotāji, draugi/ienaidnieki). Risinājums prasa konsistentu patiesības vērtību piešķīrumu visiem izteikumiem.",Comb,PropositionalLogic,6
SelfReferentialStatements,"Apgalvojumi par citiem apgalvojumiem","Statements about statements","Apgalvojumi formā ""X teica patiesību"" vai ""tieši k no šiem apgalvojumiem ir patiesi"". Risināšanai nepieciešams aplūkot vairākus loģiskus līmeņus vienlaikus.",Comb,PropositionalLogic,7
CaseAnalysis,"Gadījumu analīze (case-bashing)","Case analysis","Sistemātiska visu iespējamo pieņēmumu šķirošana, no katra atvasinot sekas, līdz nederīgie tiek izslēgti ar pretrunām. Atšķiras no pilnās pārlases ar to, ka katrs ""gadījums"" ir loģisks pieņēmums, ne objekts.",Alg,LogicalStructures,7
ConsistencyCheck,"Konsistences pārbaude","Consistency check","Pārbaude, vai dotais pieņēmumu/vērtību piešķīrumu komplekts neraga pretrunu. Pamats ""patiesības tabulu"" un ""knights and knaves"" risinājumiem.",Comb,PropositionalLogic,7
